Topic,Stance,Argument
Pena de muerte,a favor,"{
  ""character attack premise"": ""Persons who advocate for capital punishment are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for capital punishment should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
ExperimentaciÃ³n con animales,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Cambio climÃ¡tico,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that climate change is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Climate change can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
LegalizaciÃ³n de la cannabis,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aborto,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that abortion is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Abortion is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Libertad de expresiÃ³n,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aumento de impuestos,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that tax increase undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that tax increase undermines the value of human life."",
  ""conclusion"": ""Tax increase undermines the value of human life.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that animal/human cloning should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Animal/human cloning should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""character attack premise"": ""Persons who advocate for research in artificial intelligence are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for research in artificial intelligence should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
EnergÃ­a nuclear,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that nuclear energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Nuclear energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Uso de redes sociales en lÃ­nea,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
